"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"13","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","36","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"14","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","49","Local variable 'clientSocket' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","50","Local variable 'client' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"17","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","7","Private field 'folder' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"18","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","8","Private field 'watcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"20","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"21","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","11","Parameter 'folder' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","11","Parameter 'watcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","se.lnu.http","src/se/lnu/http/ClientFactory.java","3","17","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"25","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","11","Private field 'sock' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"26","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","13","Parameter 'sock' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","18","Avoid excessively long variable names like timeOutMilliseconds","Naming Rules","LongVariable"
"28","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","18","Parameter 'timeOutMilliseconds' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","21","Avoid variables with short names like in","Naming Rules","ShortVariable"
"30","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","21","Local variable 'in' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"31","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","22","Local variable 'httpReader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"32","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","23","Local variable 'requestString' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","24","Consider simply returning the value vs storing it in local variable 'requestString'","Design Rules","UnnecessaryLocalBeforeReturn"
"34","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","27","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"35","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","28","Local variable 'out' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","29","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"37","se.lnu.http","src/se/lnu/http/ClientSocket.java","3","38","Parameter 'bytes' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"38","se.lnu.http","src/se/lnu/http/ClientThread.java","3","8","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"39","se.lnu.http","src/se/lnu/http/ClientThread.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"40","se.lnu.http","src/se/lnu/http/ClientThread.java","3","11","Private field 'clientSocket' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"41","se.lnu.http","src/se/lnu/http/ClientThread.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"42","se.lnu.http","src/se/lnu/http/ClientThread.java","3","12","Private field 'factory' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"43","se.lnu.http","src/se/lnu/http/ClientThread.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"44","se.lnu.http","src/se/lnu/http/ClientThread.java","3","13","Private field 'watcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"45","se.lnu.http","src/se/lnu/http/ClientThread.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"46","se.lnu.http","src/se/lnu/http/ClientThread.java","3","14","Private field 'identifier' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"47","se.lnu.http","src/se/lnu/http/ClientThread.java","3","15","Avoid excessively long variable names like timeOutMilliseconds","Naming Rules","LongVariable"
"48","se.lnu.http","src/se/lnu/http/ClientThread.java","3","17","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"49","se.lnu.http","src/se/lnu/http/ClientThread.java","3","17","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","se.lnu.http","src/se/lnu/http/ClientThread.java","3","18","Parameter 'factory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","se.lnu.http","src/se/lnu/http/ClientThread.java","3","19","Parameter 'identifier' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"52","se.lnu.http","src/se/lnu/http/ClientThread.java","3","19","Parameter 'watcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"53","se.lnu.http","src/se/lnu/http/ClientThread.java","3","31","Avoid empty while statements","Basic Rules","EmptyWhileStmt"
"54","se.lnu.http","src/se/lnu/http/ClientThread.java","3","31","Avoid using while statements without curly braces","Braces Rules","WhileLoopsMustUseBraces"
"55","se.lnu.http","src/se/lnu/http/ClientThread.java","3","33","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"56","se.lnu.http","src/se/lnu/http/ClientThread.java","3","41","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"57","se.lnu.http","src/se/lnu/http/ClientThread.java","5","49","Found 'DD'-anomaly for variable 'doContinue' (lines '49'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"58","se.lnu.http","src/se/lnu/http/ClientThread.java","5","49","Found 'DD'-anomaly for variable 'doContinue' (lines '49'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"59","se.lnu.http","src/se/lnu/http/ClientThread.java","3","50","Local variable 'requestString' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","se.lnu.http","src/se/lnu/http/ClientThread.java","3","53","Local variable 'request' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","se.lnu.http","src/se/lnu/http/ClientThread.java","5","57","Found 'DD'-anomaly for variable 'doContinue' (lines '57'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"62","se.lnu.http","src/se/lnu/http/ClientThread.java","5","60","Found 'DD'-anomaly for variable 'response' (lines '60'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"63","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"64","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"65","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","9","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"66","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","11","Parameter 'reader' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","16","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"68","se.lnu.http","src/se/lnu/http/HTTPReader.java","5","25","Found 'DU'-anomaly for variable 'data' (lines '25'-'47').","Controversial Rules","DataflowAnomalyAnalysis"
"69","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","25","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"70","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","28","Local variable 'lineRead' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"71","se.lnu.http","src/se/lnu/http/HTTPReader.java","3","40","Local variable 'number' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"72","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","12","Parameter 'stringMethod' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"73","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","29","Private field 'url' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"75","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","30","Private field 'requestType' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"77","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"78","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","31","Private field 'headers' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"79","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","33","Parameter 'headers' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","33","Parameter 'requestType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","33","Parameter 'url' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","39","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"83","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","55","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"84","se.lnu.http","src/se/lnu/http/HTTPRequest.java","3","56","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"85","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"86","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"87","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","4","5","Avoid unused imports such as 'java.util.List'","Type Resolution Rules","UnusedImports"
"88","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","4","5","Avoid unused imports such as 'java.util.List'","Type Resolution Rules","UnusedImports"
"89","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","10","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"90","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","12","Parameter 'requestString' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"91","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","14","Local variable 'lines' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","16","Local variable 'firstLine' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"93","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","17","Local variable 'requestType' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"94","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","22","Local variable 'method' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"95","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","24","Local variable 'headers' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"96","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","26","Avoid variables with short names like h","Naming Rules","ShortVariable"
"97","se.lnu.http","src/se/lnu/http/HTTPRequestParser.java","3","26","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"98","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"99","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","12","Private field 'watcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"100","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"101","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","14","Private field 'port' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"102","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"103","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"104","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","17","Private field 'sharedDirectory' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"105","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","19","Parameter 'port' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"106","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","19","Parameter 'sharedDirectory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"107","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","19","Parameter 'watcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","27","Local variable 'socket' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"109","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","28","Local variable 'factory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"110","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","37","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"111","se.lnu.http","src/se/lnu/http/HTTPServer.java","3","49","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"112","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"113","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","11","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"114","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"115","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","12","Private field 'factory' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"116","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","14","Parameter 'factory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"117","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","14","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"118","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","23","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"119","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","23","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"120","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","23","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"121","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","24","Local variable 'view' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"122","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","25","Local variable 'factory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"123","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","26","Local variable 'server' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"124","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","32","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"125","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","32","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"126","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","32","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"127","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","35","Local variable 'port' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"128","se.lnu.http","src/se/lnu/http/HTTPServerConsole.java","3","36","Local variable 'sharedDirectory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"129","se.lnu.http","src/se/lnu/http/Header.java","3","22","Parameter 'headerText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"130","se.lnu.http","src/se/lnu/http/Header.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"131","se.lnu.http","src/se/lnu/http/Header.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"132","se.lnu.http","src/se/lnu/http/Header.java","3","32","Parameter 'type' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"133","se.lnu.http","src/se/lnu/http/Header.java","3","32","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","se.lnu.http","src/se/lnu/http/Header.java","3","45","Parameter 'stringHeader' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"135","se.lnu.http","src/se/lnu/http/Header.java","3","45","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"136","se.lnu.http","src/se/lnu/http/Header.java","3","46","Local variable 'parts' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"137","se.lnu.http","src/se/lnu/http/Header.java","3","53","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"138","se.lnu.http","src/se/lnu/http/Port.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"139","se.lnu.http","src/se/lnu/http/Port.java","3","7","Private field 'portNumber' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"140","se.lnu.http","src/se/lnu/http/Port.java","3","9","Parameter 'portNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"141","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"142","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","16","Private field 'folder' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"143","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"144","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","17","Private field 'watcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"145","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"146","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","18","Private field 'clientThread' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"147","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","20","Parameter 'clientThread' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"148","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","20","Parameter 'folder' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"149","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","20","Parameter 'watcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"150","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","26","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"151","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","27","Local variable 'method' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"152","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","30","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"153","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","31","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"154","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","33","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"155","se.lnu.http","src/se/lnu/http/ResponseFactory.java","3","35","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"156","se.lnu.http","src/se/lnu/http/ServerFactory.java","3","7","Parameter 'port' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"157","se.lnu.http","src/se/lnu/http/ServerFactory.java","3","7","Parameter 'sharedDirectory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"158","se.lnu.http","src/se/lnu/http/ServerFactory.java","3","7","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"159","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"160","se.lnu.http","src/se/lnu/http/SharedFolder.java","2","9","Use of modifier volatile is not recommended.","Controversial Rules","AvoidUsingVolatile"
"161","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","12","Parameter 'sharedDirectory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"162","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","13","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"163","se.lnu.http","src/se/lnu/http/SharedFolder.java","2","17","Avoid reassigning parameters such as 'relativePath'","Design Rules","AvoidReassigningParameters"
"164","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","23","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"165","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","25","Local variable 'absolute' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","26","Avoid excessively long variable names like sharedFileCanonicalPath","Naming Rules","LongVariable"
"167","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","26","Local variable 'sharedFileCanonicalPath' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"168","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","27","Local variable 'startOfFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"169","se.lnu.http","src/se/lnu/http/SharedFolder.java","3","28","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"170","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","12","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"171","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","12","Parameter 'hostName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"172","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"173","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","13","Parameter 'outWriter' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"174","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","13","Parameter 'reader' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"175","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","17","Local variable 'httpReader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"176","se.lnu.http.client","src/se/lnu/http/client/HTTPGetProtocoll.java","3","19","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
